codigo;trabaee;eeesaee;saiecee;emesoee;eavewee;oreidee;cameeee;cnfaaee;amcoaee;roalaee
LIFC531454;2;1;3;3;3;1;3;2;2;2
16M0530478; ; ; ; ; ; ; ; ; ; 
D7P4530763;2;1;3;3;3;1;3;1;2;2
E1AK531272;2;1;2;3;3;1;3;1;2;2
MLMG531293; ; ; ; ; ; ; ; ; ; 
BBHR531446; ; ; ; ; ; ; ; ; ; 
37AV532427;2;1;2;3;3;1;3;1;2;2
GJ5M532525;2;1;3;2;2;1;3;1;1;1
LFJW532569;2;1;2;3;2;1;2;2;2;1
WAL8532926;2;1;3;3;3;1;3;1;2;2
1N6X533250; ; ; ; ; ; ; ; ; ; 
CE8Y533570; ; ; ; ; ; ; ; ; ; 
2UH1533789;2;1;3;3;3;1;3;1;2;2
V830533961; ; ; ; ; ; ; ; ; ; 
U1YF534866; ; ; ; ; ; ; ; ; ; 
VB2F534977;2;1;3;3;3;1;1;1;2;2
LC0P535096;2;1;3;3;3;1;3;1;2;2
59FD535187; ; ; ; ; ; ; ; ; ; 
R5GR535225; ; ; ; ; ; ; ; ; ; 
Y150535496;2;1;3;3;2;1;3;2;2;2
7TP5536591;2;1;3;3;3;1;3;1;2;2
BTWT536784;2;1;3;3;3;1;3;1;2;2
3SP0537397; ; ; ; ; ; ; ; ; ; 
WPH3537679; ; ; ; ; ; ; ; ; ; 
5HRS537685;1;1;3;3;3;1;3;1;2;2
QO8C538076;2;1;3;3;3;1;3;1;2;2
WXPI538116;2;1;3;3;3;1;2;2;2;2
KFJR538126;2;1;3;3;3;1;3;1;2;2
60VD539039; ; ; ; ; ; ; ; ; ; 
SDA4539162; ; ; ; ; ; ; ; ; ; 
K611539519;2;1;3;3;3;1;3;1;2;2
FR2A539706; ; ; ; ; ; ; ; ; ; 
6BL9540000;2;1;3;3;3;1;3;1;2;1
LA11540049;2;1;2;3;3;1;3;1;2;2
LMDM540267; ; ; ; ; ; ; ; ; ; 
M2VZ540286;2;1;2;3;3;1;3;1;2;2
EUFS540317;2;1;2;3;3;1;3;1;2;2
FW2N540710; ; ; ; ; ; ; ; ; ; 
JR52541442; ; ; ; ; ; ; ; ; ; 
Z6BC541527;2;1;2;2;2;1;1;1;2;2
VBQJ541555; ; ; ; ; ; ; ; ; ; 
WECK541732; ; ; ; ; ; ; ; ; ; 
FCVH542142; ; ; ; ; ; ; ; ; ; 
E24E542375; ; ; ; ; ; ; ; ; ; 
JOL5542420; ; ; ; ; ; ; ; ; ; 
SAVC542685; ; ; ; ; ; ; ; ; ; 
91X3542751;2;1;3;3;3;1;3;1;2;2
6107542779; ; ; ; ; ; ; ; ; ; 
VRZ2542881;1;1;2;1;1;1;3;1;2;1
KV7A542980; ; ; ; ; ; ; ; ; ; 
ARUI543416;2;1;3;3;3;1;1;1;2;2
AFF8543488;2;1;3;2;2;1;3;1;2;2
1BJL543573; ; ; ; ; ; ; ; ; ; 
VKS6543862; ; ; ; ; ; ; ; ; ; 
GTOW543973; ; ; ; ; ; ; ; ; ; 
2BB0544066; ; ; ; ; ; ; ; ; ; 
9FC7544277;1;2;2;3;3;1;1;2;2;2
V2RG544547;2;1;3;3;3;1;3;1;2;2
XNNG544611; ; ; ; ; ; ; ; ; ; 
OCCD544795; ; ; ; ; ; ; ; ; ; 
R1OE545596;2;1;3;3;3;1;3;1;2;2
X3AP545694; ; ; ; ; ; ; ; ; ; 
LKFB545919;2;1;3;3;3;1;3;1;2;2
TEGJ546296; ; ; ; ; ; ; ; ; ; 
FADF546997; ; ; ; ; ; ; ; ; ; 
EQI5547091; ; ; ; ; ; ; ; ; ; 
X1MT547207; ; ; ; ; ; ; ; ; ; 
83J5547471; ; ; ; ; ; ; ; ; ; 
PAHC547700;2;1;3;3;2;1;3;1;2;2
AYHX548249;2;1;2;3;3;2;2;2;2;2
8Z88548383;2;1;2;2;2;2;2;1;2;2
8CPC548667; ; ; ; ; ; ; ; ; ; 
ULWX548697; ; ; ; ; ; ; ; ; ; 
6L3Y548701; ; ; ; ; ; ; ; ; ; 
P3L5548925; ; ; ; ; ; ; ; ; ; 
77SY549002;2;1;2;3;3;2;3;1;2;2
CU24549262; ; ; ; ; ; ; ; ; ; 
1CTC549618; ; ; ; ; ; ; ; ; ; 
QCQ0550298;2;1;3;3;3;1;3;1;2;2
TWZC550810;1;1;3;1;1;1;3;2;1;2
AZFW551015;2;1;3;3;3;1;1;2;2;2
