codigo;sostenimiento;tp_sexo;tp_area;etnibee;nl_imat;nl_ilyl;nl_icn;nl_ies
1C7O538794;3;2;2;4;2;2;1;1
1CVJ573807;3;1;2;4;2;1;1;1
1QDR548458;3;2;2;4;1;1;1;1
4J0H570275;3;2;2;4;1;1;1;1
7NXA568313;3;2;2;4;1;1;1;1
8P5E560653;3;1;2;4;1;1;1;1
AIMY565200;3;1;2;4;1;2;1;1
AMU2569555;3;2;2;4;2;2;2;1
ATE3561696;3;1;2;4;1;1;1;1
B4FX564195;3;1;2;4;1;2;2;1
BIQ3563625;3;1;2;4;2;2;2;1
CXA9578223;3;1;2;4;1;2;1;1
D61J556960;3;2;2;4;2;1;2;1
D8I0575532;3;1;2;4;2;2;1;2
DR8I562701;3;2;2;4;2;2;1;1
E6W6560498;3;1;2;4;2;2;2;2
E98H571870;3;2;2;4;1;1;1;1
ETSC540299;3;2;2;4;2;2;1;2
F579556381;3;2;2;4;2;2;2;1
H4FF569956;3;2;2;4;1;1;1;2
HC5Q580521;3;1;2;4;1;1;1;1
HIU5566013;3;1;2;4;1;0;1;1
HKR8537741;3;2;2;3;1;1;1;1
K45I576140;3;1;2;4;1;1;1;1
LW9Q570036;3;1;2;4;0;1;0;1
MAQ8564072;3;2;2;4;1;2;1;1
NBX2579073;3;1;2;4;2;2;1;2
O3F9559693;3;1;2;4;1;1;1;1
O541558667;3;1;2;4;2;1;1;1
OF21574541;3;2;2;4;1;1;1;1
VKYY570810;3;1;2;4;1;1;0;1
WE0C556369;3;2;2;4;1;1;0;1
XN0Y563036;3;2;2;4;1;2;1;1
Y13D560715;3;1;2;4;1;1;1;1
3T3H571337;4;2;1;4;2;1;0;2
69GX554778;4;1;1;4;1;2;2;2
AAHD548883;4;2;1;4;1;1;1;2
AUGF542286;4;1;1;4;1;0;1;0
DVKW567579;4;1;1;4;1;1;1;2
HH0T537918;4;2;1;4; ;1;1; 
UP7N540813;4;2;1;4;2;1;2;2
WA0F539451;4;1;1;4;2;2;2;2
WO12568729;4;1;1;4;1;2;2;2
WS0U548090;4;1;1;4;1;2;2;2
0GI8562227;4;1;2;4;3;3;3;2
2CG8578552;4;2;2;4;2;3;2;3
4M18570867;4;2;2;4;3;3;3;2
5DDF565268;4;1;2;4;2;2;2;3
5RGM549381;4;1;2;4;2;3;2;3
5W57567514;4;2;2;4;2;2;2;2
8EXF541501;4;2;2;4;1;3;2;2
9C3Y565276;4;2;2;4;2;3;2;2
9FIP557398;4;1;2;4;2;3;2;3
A6MC573475;4;1;2;4;2;2;3;1
BHWT551159;4;1;2;4;2;3;3;2
CQHK567370;4;1;2;4;1;2;2;1
CSJC578009;4;2;2;4;3;3;2;3
D1X2564692;4;1;2;4;2;3;3;3
DD4V544081;4;1;2;4;2;3;3;3
